epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.001,0.9703675862342592,0.6666666666666666,2.078540171517266,0.26296296296296295
2,0.000996057350657239,0.6177415878053696,0.8111111111111111,0.4399428795885157,0.8444444444444444
3,0.0009842915805643156,0.4543284036810436,0.8682539682539683,0.5240957642043078,0.8444444444444444
4,0.0009648882429441258,0.36504906803842574,0.888095238095238,0.2889061133066813,0.8925925925925926
5,0.0009381533400219318,0.3127063879891047,0.9095238095238095,0.38308536024005324,0.8703703703703703
6,0.0009045084971874737,0.3039208832714293,0.9071428571428571,0.1970132467923341,0.9333333333333333
7,0.0008644843137107057,0.2321757281583453,0.9325396825396826,0.16035737306983383,0.9444444444444444
8,0.0008187119948743448,0.273284507743896,0.9126984126984127,0.1382716144124667,0.9481481481481482
9,0.0007679133974894982,0.23144306363094422,0.9301587301587302,0.17655290089271686,0.9333333333333333
10,0.0007128896457825362,0.2251348040406666,0.926984126984127,0.13833818821995347,0.9555555555555556
11,0.0006545084971874736,0.21785111107996533,0.9214285714285714,0.14451728174807849,0.9629629629629629
12,0.0005936906572928624,0.20236564288063655,0.9253968253968254,0.11646716081433826,0.9518518518518518
13,0.0005313952597646568,0.14874857115367102,0.9595238095238096,0.09682967293041723,0.9666666666666667
14,0.00046860474023534336,0.12950827711158328,0.9611111111111111,0.07879357945036006,0.9814814814814815
15,0.0004063093427071377,0.11686197528763423,0.9634920634920635,0.07711863015536909,0.9777777777777777
16,0.00034549150281252644,0.10279765512262072,0.9698412698412698,0.07581833934894315,0.9777777777777777
17,0.00028711035421746366,0.09060991456111273,0.9722222222222222,0.0584800920828625,0.9851851851851852
18,0.00023208660251050156,0.08409422647858424,0.9761904761904762,0.06376839183546879,0.9851851851851852
19,0.00018128800512565513,0.08408244900287144,0.9753968253968254,0.041177428458575846,0.9888888888888889
20,0.00013551568628929433,0.08230805926852756,0.9753968253968254,0.0425936228837128,0.9888888888888889
21,9.549150281252634e-05,0.07070029917217437,0.9825396825396825,0.0379217235578431,0.9925925925925926
22,6.184665997806823e-05,0.07021603743944849,0.9833333333333333,0.034635759007047726,0.9962962962962963
23,3.511175705587433e-05,0.08065990424818463,0.9801587301587301,0.031146018800360185,0.9962962962962963
24,1.570841943568452e-05,0.0643199757569366,0.9857142857142858,0.03185475856341698,0.9962962962962963
25,3.942649342761118e-06,0.06623548912032257,0.9841269841269841,0.03835467072548689,0.9925925925925926
